snp1	snp2	snp3	snp4	snp5	snp6	snp7	snp8	snp9	snp10	snp11	snp12	snp13	snp14	snp15	snp16	snp17	snp18	snp19	snp20	snp21	snp22	snp23	snp24	snp25	snp26	snp27	snp28	snp29	snp30	snp31	snp32	snp33	snp34	snp35	snp36	snp37	snp38	snp39	snp40	snp41	snp42	snp43	snp44	snp45	snp46	snp47	snp48	snp49	snp50
1.0	0.158424	0.153061	0.159827	0.138664	0.000167	-0.008485	0.000199	-0.000908	-0.006543	-0.003965	-0.004757	0.003841	0.006307	0.002156	0.002002	0.003008	-0.002544	0.001453	-0.00029	-2.2e-05	-0.002433	-0.006217	-0.001662	0.001521	0.000511	-0.001348	0.000722	-0.005753	-0.002905	-0.001852	0.002255	0.001899	-0.004042	0.008471	-0.003696	-0.007835	0.001916	-0.007058	-0.008701	0.00755	0.006477	-0.002927	0.004907	0.00356	-0.006836	-0.003955	-0.009939	-0.008684	-0.005806
0.158424	1.0	0.177761	0.174498	0.152051	-0.00355	0.000231	0.004156	-0.003301	-0.001752	0.005001	0.005964	0.000689	0.000249	-0.000301	0.008838	0.004857	0.007935	0.005963	0.011197	0.008419	0.006045	0.00347	0.002274	0.001852	0.00183	0.005692	0.004128	0.008615	0.00118	0.002239	0.003173	0.001678	0.006763	0.00281	-0.008082	-0.004501	0.005504	0.001162	0.002339	0.000998	0.000638	0.004585	0.003198	-0.000607	-0.006493	-0.002087	-0.000176	-0.007251	-0.005425
0.153061	0.177761	1.0	0.18392	0.14994	-0.003133	-0.004653	0.004045	-0.002498	0.000283	-0.000552	0.00404	-0.002227	0.004767	0.007401	-0.001396	0.004671	-9e-05	-3e-05	0.004855	-0.000638	0.00207	-0.001754	-0.002174	-0.002322	0.002582	0.000322	-0.0026	-0.001988	-0.00319	-0.003277	0.001647	-0.004516	-0.001352	-0.001728	0.002212	0.00587	-0.001507	0.002446	0.00227	0.002995	0.000623	0.001919	0.000843	-0.00796	-0.007945	-0.005998	-0.001424	-0.007418	-0.001302
0.159827	0.174498	0.18392	1.0	0.16177	-0.004092	0.000152	-0.009501	-0.000656	-0.004832	-0.002439	0.000392	0.008714	0.002625	-0.000875	0.000811	0.0025	-0.004289	0.001283	-0.001411	0.000729	0.001827	-0.00214	-0.000442	-0.002856	0.005171	-0.001729	0.003154	-0.006845	0.000165	-0.004704	0.001478	0.001883	0.006039	-0.001511	-0.00479	0.001572	0.00321	-0.00771	-0.001991	0.006478	-0.00154	0.003767	0.007197	0.001904	-0.008426	-0.00854	-0.008564	-0.004879	-0.007966
0.138664	0.152051	0.14994	0.16177	1.0	0.003677	0.00196	-0.001753	-0.006009	-0.002608	-0.000445	0.002714	-0.006341	-0.009646	-0.002405	0.008315	0.00234	-0.006078	-0.005623	-0.000881	-0.001908	-0.007352	-0.002584	-0.001472	-0.008549	-0.005671	-0.00673	-0.006212	0.000347	-0.003755	-0.004002	-0.007685	-0.000329	-0.001686	-0.008841	-0.005595	0.002636	0.00286	0.001803	0.007191	-0.001529	0.003777	-0.003088	-0.002249	-0.00226	-0.00796	-0.001364	-0.000894	-0.002622	-0.005728
0.000167	-0.00355	-0.003133	-0.004092	0.003677	1.0	0.141117	0.141131	0.150934	0.143526	-0.004544	0.005868	0.001076	0.00319	-0.002991	0.004261	0.006471	-0.000397	0.00412	-0.00438	-0.003809	0.003964	-0.0001	-0.000913	0.000492	0.005422	-0.001133	0.001639	-0.004967	0.000942	0.000224	-0.003409	0.001332	0.000533	0.0032	-0.003686	-0.005019	0.000663	-0.002171	0.004765	0.000412	0.00294	-0.003564	0.001775	0.002062	-0.002914	0.003756	0.006027	0.000135	0.000585
-0.008485	0.000231	-0.004653	0.000152	0.00196	0.141117	1.0	0.182808	0.187223	0.179991	0.005615	-0.002985	0.00623	0.005099	-0.001516	-0.002853	-0.002275	0.001291	0.002598	0.002212	-0.000658	-0.000418	0.000398	-0.002165	0.002025	-0.001711	0.002844	-0.003842	0.000418	0.005396	-0.000558	0.000404	-0.00813	0.003016	-0.005884	-0.007455	-0.00106	-0.003625	-0.00251	-0.004014	-0.00416	-0.005367	6e-05	-0.001092	-0.00206	0.000297	-0.002617	0.002103	-0.00239	-0.004663
0.000199	0.004156	0.004045	-0.009501	-0.001753	0.141131	0.182808	1.0	0.182006	0.178424	-0.009344	0.000531	0.001256	-0.003455	-0.002419	0.001403	-0.000818	-0.00064	-0.000205	0.001709	0.001142	-0.000914	-0.004892	-0.002342	-0.001172	-0.007119	-0.001599	-0.00575	-0.002307	-0.001456	-0.002113	-0.003203	-0.000695	0.000492	-0.003655	0.002781	0.000541	0.009964	0.008065	0.001344	-0.000991	-0.003521	0.005764	0.001283	-0.000688	0.001054	0.00352	0.00496	-0.00272	-0.001836
-0.000908	-0.003301	-0.002498	-0.000656	-0.006009	0.150934	0.187223	0.182006	1.0	0.186564	0.006075	-0.007536	-0.00122	-0.005127	-0.00424	-0.002747	0.003094	0.000852	-0.000254	0.006196	-0.000116	0.001587	0.00364	0.005265	0.004725	0.001936	0.0046	0.003833	0.005138	0.002468	0.003539	0.001444	-0.002383	-0.003876	-0.002059	-0.002829	0.003758	0.003397	-0.005276	0.003826	0.005487	0.002187	0.001786	-0.002917	-0.003314	0.004405	0.000891	-0.005002	-0.002923	-0.004346
-0.006543	-0.001752	0.000283	-0.004832	-0.002608	0.143526	0.179991	0.178424	0.186564	1.0	0.007534	-0.001675	0.00278	0.002892	0.005429	-0.004084	0.003651	0.003704	-0.000712	-0.001429	-0.001718	-0.006679	-0.000535	0.004644	-0.002232	-0.001159	-0.003033	-0.003387	-0.001783	0.000869	-0.002231	-0.004621	0.000778	-0.00539	0.004983	0.003724	0.004334	0.001287	0.003279	0.005428	0.007474	0.000786	0.006723	0.002692	0.003342	-0.002724	0.001746	-0.003677	-0.00327	-0.001309
